,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,ppi,Speed,HDD,SSD
0,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,0,1,226.98300468106115,2.3,0,128
1,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,0,0,127.67794013309688,1.8,0,0
2,HP,Notebook,Intel Core i5,8,Intel HD,No OS,1.86,0,0,141.21199808219862,2.5,0,256
3,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,0,1,220.53462386625827,2.7,0,512
4,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,0,1,226.98300468106115,3.1,0,256
5,Acer,Notebook,AMD Processor,4,AMD Radeon,Windows,2.1,0,0,100.45466986113651,3.0,500,0
6,Apple,Ultrabook,Intel Core i7,16,Intel Iris,Mac OS,2.04,0,1,220.53462386625827,2.2,0,0
7,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,0,0,127.67794013309688,1.8,0,0
8,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows,1.3,0,0,157.3505121487356,1.8,0,512
9,Acer,Ultrabook,Intel Core i5,8,Intel UHD,Windows,1.6,0,1,157.3505121487356,1.6,0,256
10,HP,Notebook,Intel Core i5,4,Intel HD,No OS,1.86,0,0,100.45466986113651,2.5,500,0
11,HP,Notebook,Intel Core i3,4,Intel HD,No OS,1.86,0,0,141.21199808219862,2.0,500,0
12,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,0,1,220.53462386625827,2.8,0,256
13,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows,2.2,0,0,141.21199808219862,2.0,0,256
14,Apple,Ultrabook,Other Intel Processor,8,Intel HD,Mac OS,0.92,0,1,226.41554716935852,1.2,0,256
15,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,0,1,226.98300468106115,2.3,0,256
16,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows,2.2,0,0,141.21199808219862,2.7,0,256
17,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,0,1,220.53462386625827,2.9,0,512
18,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,0,0,141.21199808219862,2.4,1000,0
19,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows,1.22,1,1,165.6321180513006,1.6,0,128
20,Asus,Netbook,Other Intel Processor,2,Intel HD,Windows,0.98,0,0,135.0942111925629,1.44,0,0
21,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows,2.5,0,1,141.21199808219862,2.5,1000,128
22,HP,Notebook,AMD Processor,4,AMD Radeon,No OS,1.86,0,0,100.45466986113651,1.5,500,0
23,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows,1.62,1,0,165.6321180513006,1.6,0,256
24,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows,1.91,0,0,141.21199808219862,1.8,0,256
25,Dell,Notebook,Intel Core i3,4,Intel HD,Windows,2.3,0,0,100.45466986113651,2.0,1000,0
26,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.35,0,0,127.67794013309688,1.6,0,0
27,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows,2.2,0,0,141.21199808219862,1.6,0,256
28,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows,1.88,0,0,141.21199808219862,1.9,0,512
